MaSV,HoTen,Lop,HocPhan,NoHocPhi
SV240101,Hồ Anh Phong,24BUS02,ENG101,0
SV240102,Vũ Đức Nam,24CS02,HIS101,0
SV240103,Hồ Khánh Em,24BUS02,MAT101,0
SV240104,Lý Đức Tùng,24BUS02,ECO101,0
SV240105,Đỗ Thanh Yến,24BUS02,ECO101,0
SV240106,Phan Hoài Em,24CS02,HCM101,0
SV240107,Hoàng Phương Hải,24BUS02,MAT101,0
SV240108,Lý Quang Yến,24CS02,HIS101,0
SV240109,Lê Anh Phong,24ENG02,MAT101,0
SV240110,Dương Khánh Phong,24BUS02,MAT103,1200000
SV240111,Đỗ Hữu Phong,24BUS02,ENG101,0
SV240112,Dương Ngọc Oanh,24BUS02,ENG101,0
SV240113,Phạm Văn Hương,24CS02,MAT103,0
SV240114,Ngô Văn Tùng,24BUS02,MAT101,0
SV240115,Phan Minh Cường,24CS02,PHY101,0
SV240116,Bùi Hữu Hải,24ENG02,ECO101,0
SV240117,Phạm Thu Phong,24ENG02,HIS101,0
SV240118,Hồ Thanh Lan,24CS02,HCM101,0
SV240119,Lý Bảo Khanh,24CS02,ENG101,0
SV240120,Ngô Văn Minh,24CS02,ENG101,2400000
SV240121,Nguyễn Hữu Tùng,24CS02,ECO101,0
SV240122,Bùi Kim Đạt,24CS02,HIS101,0
SV240123,Huỳnh Thanh Vy,24CS02,MAT101,0
SV240124,Đặng Thị Bình,24CS02,HCM101,0
SV240125,Trần Anh Yến,24ENG02,PHY101,0
SV240126,Hồ Anh Vy,24BUS02,MAT101,0
SV240127,Nguyễn Bảo Khanh,24ENG02,PHY101,0
SV240128,Dương Đức Trang,24BUS02,ECO101,0
SV240129,Đặng Văn Giang,24BUS02,HCM101,0
SV240130,Trần Kim Như,24BUS02,ECO101,3000000
SV240131,Đặng Hoài Lan,24CS02,MAT103,0
SV240132,Ngô Bảo Sơn,24CS02,HIS101,0
SV240133,Bùi Kim Đạt,24BUS02,ENG101,0
SV240134,Võ Anh Trang,24ENG02,ENG101,0
SV240135,Đặng Anh Em,24BUS02,MAT103,0
SV240136,Trần Anh Uyên,24CS02,HCM101,0
SV240137,Lê Thu Vy,24BUS02,HIS101,0
SV240138,Trần Bảo Em,24BUS02,ENG101,0
SV240139,Võ Thu Tùng,24BUS02,ECO101,0
SV240140,Ngô Thanh Vy,24BUS02,PHY101,1200000
SV240141,Huỳnh Khánh An,24CS02,PHI101,0
SV240142,Đặng Thu Phương,24CS02,MAT103,0
SV240143,Trần Minh Phương,24BUS02,PHY101,0
SV240144,Dương Khánh Hải,24BUS02,HIS101,0
SV240145,Trần Phương Hương,24CS02,HIS101,0
SV240146,Hoàng Ngọc Khanh,24CS02,PHY101,0
SV240147,Đặng Quang An,24BUS02,HIS101,0
SV240148,Trần Kim Minh,24ENG02,PHY101,0
SV240149,Nguyễn Minh Chi,24ENG02,ENG101,0
SV240150,Phan Bảo Chi,24BUS02,PHY101,3000000
SV240151,Nguyễn Quang Sơn,24CS02,HIS101,0
SV240152,Dương Ngọc Giang,24ENG02,ENG101,0
SV240153,Lý Ngọc Dũng,24ENG02,ENG101,0
SV240154,Hoàng Khánh Quân,24ENG02,PHI101,0
SV240155,Huỳnh Quang Như,24ENG02,MAT101,0
SV240156,Bùi Thu Phương,24CS02,HIS101,0
SV240157,Lê Ngọc Uyên,24ENG02,HIS101,0
SV240158,Nguyễn Hữu Bình,24CS02,PHY101,0
SV240159,Phạm Thị Uyên,24BUS02,ECO101,0
SV240160,Đặng Hữu Chi,24CS02,PHY101,1800000
SV240161,Trần Văn Đạt,24CS02,HIS101,0
SV240162,Võ Thu Vy,24CS02,ECO101,0
SV240163,Nguyễn Phương Vy,24BUS02,MAT101,0
SV240164,Huỳnh Phương Nam,24CS02,ENG101,0
SV240165,Hoàng Thị Lan,24BUS02,PHY101,0
SV240166,Nguyễn Quang Như,24BUS02,ECO101,0
SV240167,Nguyễn Quang Lan,24CS02,HCM101,0
SV240168,Ngô Đức Trang,24CS02,MAT101,0
SV240169,Phan Hoài Dũng,24BUS02,PHI101,0
SV240170,Vũ Anh Em,24CS02,ECO101,3600000
SV240171,Dương Phương Như,24BUS02,MAT101,0
SV240172,Nguyễn Bảo Oanh,24ENG02,HCM101,0
SV240173,Võ Quang Bình,24CS02,PHY101,0
SV240174,Lê Minh Oanh,24CS02,PHI101,0
SV240175,Đặng Kim An,24ENG02,HIS101,0
SV240176,Huỳnh Hoài Tùng,24CS02,PHI101,0
SV240177,Đỗ Hữu Cường,24BUS02,HCM101,0
SV240178,Bùi Thu Uyên,24CS02,PHY101,0
SV240179,Võ Ngọc Quân,24BUS02,ENG101,0
SV240180,Lê Kim Trang,24BUS02,PHY101,3000000
SV240181,Vũ Hữu Hải,24ENG02,PHI101,0
SV240182,Trần Đức Dũng,24ENG02,ENG101,0
SV240183,Huỳnh Anh Hương,24BUS02,PHI101,0
SV240184,Trần Hữu Oanh,24BUS02,HIS101,0
SV240185,Phạm Bảo Sơn,24CS02,PHY101,0
SV240186,Phan Thị Dũng,24CS02,PHY101,0
SV240187,Dương Văn Oanh,24BUS02,ECO101,0
SV240188,Bùi Anh Nam,24ENG02,MAT101,0
SV240189,Đỗ Khánh Oanh,24CS02,MAT103,0
SV240190,Trần Phương Minh,24ENG02,ECO101,1800000
SV240191,Phan Hoài Phương,24CS02,ENG101,0
SV240192,Võ Hữu Dũng,24BUS02,MAT101,0
SV240193,Vũ Đức Hải,24CS02,PHY101,0
SV240194,Hồ Khánh An,24CS02,ECO101,0
SV240195,Võ Quang Lan,24BUS02,HCM101,0
SV240196,Lý Đức Minh,24BUS02,PHI101,0
SV240197,Phạm Anh Khanh,24ENG02,ECO101,0
SV240198,Phạm Thu Trang,24CS02,HIS101,0
SV240199,Võ Thị Bình,24BUS02,HIS101,0
SV240200,Trần Phương Vy,24CS02,ENG101,2400000
